model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
StackedEnsemble_AllModels_1_AutoML_1_20260530_03740,0.9693877551020408,0.222725281800782,0.9719965538177372,0.0999782891880156,0.2679255032384895,0.0717840752855978
StackedEnsemble_BestOfFamily_1_AutoML_1_20260530_03740,0.9684107685627442,0.2265103115129891,0.9722220037692104,0.1050803300043421,0.2718470810284277,0.0739008354636765
GLM_1_AutoML_1_20260530_03740,0.9674337820234477,0.2277213623854466,0.9705548236075364,0.1042118975249674,0.274259098365669,0.0752180530363497
DeepLearning_grid_2_AutoML_1_20260530_03740_model_2,0.9653712548849328,0.2439321664049544,0.969343525395192,0.1050803300043421,0.2788216903532756,0.0777415350114579
DeepLearning_grid_1_AutoML_1_20260530_03740_model_3,0.9650455927051672,0.244421086421087,0.9671073297398566,0.0993269648284845,0.2778444348274971,0.0771975299646112
DeepLearning_grid_3_AutoML_1_20260530_03740_model_2,0.9647199305254016,0.24949173189457,0.9687052718868484,0.0838037342596613,0.2706895468440519,0.0732728307706381
DeepLearning_1_AutoML_1_20260530_03740,0.9408380373425966,0.3150622029405889,0.94760879103261,0.152301346070343,0.3201705731593784,0.1025091959172049
GBM_4_AutoML_1_20260530_03740,0.9379070777247068,0.3155707394215721,0.9397678780171164,0.135258358662614,0.3187962147073372,0.1016310265117266
DeepLearning_grid_1_AutoML_1_20260530_03740_model_2,0.9373643074250976,0.3389698796476014,0.9421963685181304,0.1374294398610508,0.3182145636742416,0.1012605085343879
GBM_grid_1_AutoML_1_20260530_03740_model_2,0.937147199305254,0.316352622963961,0.9391752043555064,0.159140251845419,0.3217848393611432,0.1035454828426767
DeepLearning_grid_2_AutoML_1_20260530_03740_model_1,0.9349761181068172,0.3271954452597659,0.9408792311450545,0.1478506296135475,0.326619581419074,0.106680350966371
DeepLearning_grid_1_AutoML_1_20260530_03740_model_1,0.9349761181068172,0.3273639110281622,0.9377742979789176,0.1480677377333912,0.3317456116561307,0.1100551508531003
GBM_3_AutoML_1_20260530_03740,0.9335649153278331,0.3242836516738947,0.9333781619519576,0.135258358662614,0.3238399120117237,0.1048722886117609
XRT_1_AutoML_1_20260530_03740,0.9308510638297872,0.3560770198587924,0.934775812026964,0.1423143725575336,0.3329407780563472,0.1108495616927658
GBM_2_AutoML_1_20260530_03740,0.9305254016500216,0.3335725542132325,0.935404325759438,0.1474164133738602,0.3321223979548564,0.110305287223284
DeepLearning_grid_3_AutoML_1_20260530_03740_model_1,0.9297655232305688,0.3390320717792739,0.9358377103151791,0.1410117238384715,0.3304865674264165,0.1092213712492953
GBM_grid_1_AutoML_1_20260530_03740_model_4,0.928245766391663,0.3486154083457056,0.9343426841453328,0.1574033868866695,0.3343408710897333,0.1117838180810417
GBM_grid_1_AutoML_1_20260530_03740_model_5,0.9266174554928356,0.3478357288919669,0.931279743893224,0.1467650890143291,0.335897821303258,0.1128273463562754
GBM_grid_1_AutoML_1_20260530_03740_model_1,0.9239036039947894,0.3585065342875518,0.9246906046927736,0.1257056013894919,0.3371236698815291,0.1136523687943902
DRF_1_AutoML_1_20260530_03740,0.9202670429874076,0.3510201197614108,0.9185195138273268,0.1520842379504993,0.3351288580193763,0.1123113514773713
GBM_5_AutoML_1_20260530_03740,0.9110942249240122,0.3907771705092442,0.911493198844054,0.1567520625271385,0.3520474358651134,0.1239373970992011
GBM_grid_1_AutoML_1_20260530_03740_model_3,0.8433564915327832,0.4931868409289757,0.8365121769684624,0.2323056882327399,0.4059784179395806,0.1648184758327248
