hour,cpu_load
0,26.0
1,27.083591
2,33.270947
3,38.402573
4,35.55358
5,35.36068
6,38.467293
7,39.744347
8,42.08192
9,43.09241
10,49.28724
11,54.504925
12,57.277065
13,61.543015
14,61.717777
15,56.749443
16,53.340786
17,44.736874
18,40.056953
19,32.300373
20,25.531353
21,19.848257
22,21.313995
23,20.763367
24,21.887445
25,24.76475
26,30.069622
27,33.92292
28,36.81098
29,38.71305
30,43.736725
31,41.579372
32,41.010586
33,41.501186
34,46.767338
35,52.830677
36,54.993874
37,55.01576
38,54.184933
39,54.83359
40,52.35468
41,46.847675
42,37.384216
43,30.835249
44,24.894897
45,21.0868
46,20.988646
47,21.16731
48,24.396826
49,27.089039
50,30.889
51,35.02398
52,33.447334
53,35.19819
54,36.100666
55,36.770382
56,38.995407
57,45.784058
58,46.553696
59,52.88889
60,52.17982
61,55.10363
62,57.135567
63,57.2488
64,54.579296
65,49.637325
66,40.716793
67,32.32495
68,28.492615
69,23.470142
70,18.873928
71,18.143017
72,20.34472
73,26.929306
74,31.842775
75,37.142956
76,38.443302
77,40.74708
78,43.378887
79,43.43658
80,46.214138
81,47.0114
82,50.0677
83,53.72686
84,55.479576
85,60.64072
86,60.837605
87,59.997402
88,57.527706
89,52.46404
90,46.4765
91,38.4235
92,31.18232
93,27.183577
94,22.052795
95,21.216234
96,23.155266
97,27.176712
98,34.398754
99,36.996967
100,40.28304
101,46.165165
102,46.257423
103,49.235264
104,48.381336
105,51.038944
106,52.889713
107,57.182476
108,63.6704
109,62.289043
110,65.385544
111,64.75545
112,59.51275
113,50.945663
114,45.67204
115,38.35995
116,33.908543
117,30.316149
118,32.392326
119,31.249958
120,20.954203
121,25.510994
122,30.01516
123,36.30395
124,39.433647
125,40.420807
126,43.592552
127,40.116524
128,40.21305
129,41.145615
130,44.717346
131,46.463818
132,53.191395
133,55.65192
134,53.486042
135,51.067715
136,49.44108
137,46.006775
138,42.956585
139,40.254795
140,31.32921
141,22.362967
142,15.161412
143,17.718798
144,18.927591
145,22.553385
146,25.914991
147,29.988197
148,35.536636
149,36.968765
150,37.221176
151,35.84217
152,34.527992
153,37.80568
154,42.50267
155,51.05219
156,53.783257
157,57.559692
158,55.623627
159,50.788868
160,45.229416
161,38.768333
162,37.592506
163,27.471178
164,23.209644
165,16.266733
166,16.798063
167,17.484781
168,28.730965
169,31.73553
170,33.78475
171,38.436237
172,39.677456
173,38.814926
174,38.257687
175,41.503666
176,47.457237
177,49.35414
178,51.65556
179,55.649662
180,61.497017
181,62.881973
182,61.391975
183,61.680737
184,57.233173
185,53.36122
186,44.50191
187,33.182285
188,24.255295
189,25.00987
190,26.309711
191,24.50121
192,25.02397
193,31.43016
194,31.255033
195,32.653652
196,37.347713
197,38.00926
